,time,friends_count,lat,long,language
99,07 29 00:54:07 2014,99,-37.79010176,144.96994421,es
100,07 29 00:55:08 2014,879,-37.87362858,145.25098858,en
101,07 29 00:55:26 2014,368,-37.70129869,145.05528231,en
102,07 29 00:55:41 2014,1844,-37.8324907,144.9890208,en
103,07 29 00:55:53 2014,109,-37.67028783,144.84934932,en
104,07 29 00:56:48 2014,87,-37.8159765,144.9521499,th
105,07 29 00:57:10 2014,209,-37.79345528,145.0217719,th
106,07 29 00:57:38 2014,116,-37.7578067,145.0216307,en
107,07 29 00:58:43 2014,133,-37.78296983,144.89971073,en
108,07 29 00:58:59 2014,168,-37.7064355,144.7688298,en
109,07 29 00:59:04 2014,89,-37.890948,145.0400598,en
110,07 29 01:01:04 2014,672,-38.1436977,145.1273095,tl
111,07 29 01:01:32 2014,504,-37.56942913,144.7300292,en
112,07 29 01:01:38 2014,378,-37.85340716,145.14960766,pl
113,07 29 01:04:02 2014,239,-37.77001238,145.15153113,sv
114,07 29 01:05:08 2014,243,-37.80413537,144.96337982,en
115,07 29 01:05:08 2014,168,-37.7064355,144.7688298,en
116,07 29 01:06:15 2014,177,-37.8711206,144.7539306,en
117,07 29 01:06:48 2014,1225,-38.0680735,145.43115855,en
118,07 29 01:07:19 2014,2608,-37.67101599,144.84855421,en
119,07 29 01:07:42 2014,148,-37.83298799,144.93499245,en
120,07 29 01:07:42 2014,292,-37.84848054,145.01529981,en
121,07 29 01:08:43 2014,1999,-37.81411222,144.96335209,en
122,07 29 01:10:12 2014,432,-37.83026361,144.95673168,en
123,07 29 01:11:37 2014,156,-37.83425151,144.97072299,en
124,07 29 01:12:17 2014,2001,-37.84041212,144.97720069,en
125,07 29 01:13:37 2014,99,-37.79017712,144.96990202,es
126,07 29 01:14:07 2014,215,-37.95799908,145.03562754,en
127,07 29 01:14:40 2014,1355,-37.83581003,144.9700407,en
128,07 29 01:14:42 2014,118,-37.82408758,144.95883872,en
129,07 29 01:15:44 2014,879,-37.87460961,145.24814509,en
130,07 29 01:16:17 2014,156,-37.83721835,144.96752144,en
131,07 29 01:18:43 2014,300,-37.80234956,144.98644128,en
132,07 29 01:20:26 2014,486,-37.67145556,144.84608777,en
133,07 29 01:21:21 2014,408,-37.88565537,145.08311247,en
134,07 29 01:23:42 2014,58,-37.6962397,145.05100289,en
135,07 29 01:23:47 2014,122,-38.0965547,145.28585717,en
136,07 29 01:24:41 2014,775,-37.70332098,144.85445294,und
137,07 29 01:25:02 2014,1833,-37.7849197,145.1563344,de
138,07 29 01:25:32 2014,161,-37.78771451,145.01009335,und
139,07 29 01:26:42 2014,196,-37.78501475,144.98656687,en
140,07 29 01:28:17 2014,38,-37.767384,144.956061,in
141,07 29 01:29:22 2014,1253,-37.8125441,144.965435,en
142,07 29 01:30:55 2014,195,-37.80844623,144.97037442,en
143,07 29 01:31:00 2014,177,-37.8742745,145.0733863,en
144,07 29 01:31:33 2014,91,-37.75986316,144.748909,en
145,07 29 01:32:59 2014,488,-37.8390644,145.1227419,es
146,07 29 01:33:51 2014,434,-37.8159635,144.9556939,es
147,07 29 01:33:57 2014,203,-38.20758368,145.23897977,und
148,07 29 01:37:36 2014,157,-37.81646734,145.09529932,en
149,07 29 01:39:12 2014,104,-37.81063623,144.9615486,en
150,07 29 01:40:17 2014,645,-37.74192455,144.96871051,en
151,07 29 01:40:51 2014,314,-37.9055187,145.2798219,en
152,07 29 01:41:16 2014,893,-37.818926,144.9500394,en
153,07 29 01:42:20 2014,280,-37.82401932,144.95589863,en
154,07 29 01:42:29 2014,55,-37.80307681,144.95797098,und
155,07 29 01:43:17 2014,122,-38.09654972,145.28584636,tl
156,07 29 01:44:45 2014,118,-37.82406952,144.95887083,en
157,07 29 01:45:39 2014,116,-37.8151367,144.9523409,en
158,07 29 01:46:27 2014,69,-37.80988819,144.95757496,en
159,07 29 01:47:36 2014,139,-37.8769367,145.0445509,en
160,07 29 01:47:50 2014,3196,-37.8295639,144.97476717,en
161,07 29 01:48:07 2014,295,-37.80326813,145.18786223,en
162,07 29 01:48:50 2014,238,-37.81275272,144.96510118,und
163,07 29 01:48:56 2014,91,-37.8523177,145.27535683,en
164,07 29 01:49:22 2014,1054,-37.81622433,144.96119775,en
165,07 29 01:50:24 2014,1565,-37.9975656,145.2333231,it
166,07 29 01:50:35 2014,762,-37.80752099,144.9769967,en
167,07 29 01:50:57 2014,164,-37.814107,144.96328,en
168,07 29 01:51:19 2014,465,-38.00168593,145.26251443,und
169,07 29 01:51:28 2014,135,-37.6496989,145.0666128,en
170,07 29 01:51:39 2014,333,-37.84715988,145.11449528,en
171,07 29 01:51:40 2014,386,-37.66743,144.84984,und
172,07 29 01:52:13 2014,1844,-37.8324907,144.9890208,und
173,07 29 01:52:26 2014,463,-37.70720762,144.82334208,en
